Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Phoenix/Tucson,Weekly,"2017-01-08 00:00:00",Organic,1.400000000,13244.80,3667.93,4389.06,0.00,5187.81,5140.05,47.76,0.00
Pittsburgh,Weekly,"2017-01-08 00:00:00",Organic,1.450000000,8985.72,901.71,23.73,0.00,8060.28,7578.16,482.12,0.00
Plains,Weekly,"2017-01-08 00:00:00",Organic,1.670000000,56310.43,4527.73,18578.92,5649.58,27554.20,21617.03,5937.17,0.00
Portland,Weekly,"2017-01-08 00:00:00",Organic,1.010000000,47556.69,3790.24,6998.59,14.77,36753.09,279.31,36473.78,0.00
Raleigh/Greensboro,Weekly,"2017-01-08 00:00:00",Organic,1.520000000,11276.02,179.81,4508.40,369.14,6218.67,6018.60,200.07,0.00
Richmond/Norfolk,Weekly,"2017-01-08 00:00:00",Organic,1.480000000,8071.93,490.60,3085.34,205.36,4290.63,4290.63,0.00,0.00
Roanoke,Weekly,"2017-01-08 00:00:00",Organic,1.610000000,5241.20,263.74,2764.44,0.00,2213.02,2213.02,0.00,0.00
Sacramento,Weekly,"2017-01-08 00:00:00",Organic,2.150000000,5692.25,1630.79,3665.00,0.00,396.46,396.46,0.00,0.00
"San Diego",Weekly,"2017-01-08 00:00:00",Organic,1.520000000,16775.97,2363.28,9429.06,0.00,4983.63,3266.31,1717.32,0.00
"San Francisco",Weekly,"2017-01-08 00:00:00",Organic,2.580000000,18096.56,6273.00,8466.99,0.00,3356.57,3347.06,9.51,0.00
Seattle,Weekly,"2017-01-08 00:00:00",Organic,1.230000000,50943.98,537.65,11503.88,6.58,38895.87,583.94,38311.93,0.00
"South Carolina",Weekly,"2017-01-08 00:00:00",Organic,1.480000000,9552.09,304.42,3669.20,222.07,5356.40,4469.22,887.18,0.00
"South Central",Weekly,"2017-01-08 00:00:00",Organic,1.100000000,104424.88,26212.50,6181.32,0.00,72031.06,69782.27,2248.79,0.00
Southeast,Weekly,"2017-01-08 00:00:00",Organic,1.410000000,61788.03,5147.21,14914.50,341.38,41384.94,20688.40,20696.54,0.00
Spokane,Weekly,"2017-01-08 00:00:00",Organic,1.160000000,4113.70,14.26,914.68,0.00,3184.76,168.63,3016.13,0.00
"St. Louis",Weekly,"2017-01-08 00:00:00",Organic,1.670000000,4065.65,1559.52,325.05,0.00,2181.08,1381.78,799.30,0.00
Syracuse,Weekly,"2017-01-08 00:00:00",Organic,1.700000000,2443.57,0.00,113.63,0.00,2329.94,1777.21,552.73,0.00
Tampa,Weekly,"2017-01-08 00:00:00",Organic,1.210000000,6520.70,285.78,50.14,0.00,6184.78,3836.67,2348.11,0.00
West,Weekly,"2017-01-08 00:00:00",Organic,1.090000000,267702.99,29794.90,45439.29,125.69,192343.11,41364.31,150978.80,0.00
"West Tex/New Mexico",Weekly,"2017-01-08 00:00:00",Organic,1.180000000,14375.39,1327.98,2617.20,5.75,10424.46,10283.85,140.61,0.00
"Total U.S.",Weekly,"2017-01-15 00:00:00",Organic,1.440000000,975724.28,121132.79,280287.84,8750.08,565553.57,400292.46,165261.11,0.00
Albany,Weekly,"2017-01-15 00:00:00",Organic,1.840000000,1982.65,82.30,328.02,0.00,1572.33,1572.33,0.00,0.00
Atlanta,Weekly,"2017-01-15 00:00:00",Organic,1.620000000,6291.29,1129.49,3582.50,0.00,1579.30,0.00,1579.30,0.00
Baltimore/Washington,Weekly,"2017-01-15 00:00:00",Organic,1.820000000,20759.34,1359.33,8445.66,294.96,10659.39,10651.09,8.30,0.00
Boise,Weekly,"2017-01-15 00:00:00",Organic,1.060000000,3071.87,0.00,457.07,0.00,2614.80,508.41,2106.39,0.00
Boston,Weekly,"2017-01-15 00:00:00",Organic,1.880000000,17012.28,12.30,1315.10,0.00,15684.88,15554.34,130.54,0.00
Buffalo/Rochester,Weekly,"2017-01-15 00:00:00",Organic,1.580000000,4158.47,7.31,184.83,0.00,3966.33,3416.66,549.67,0.00
California,Weekly,"2017-01-15 00:00:00",Organic,1.660000000,142739.21,27811.48,58090.25,3.08,56834.40,55364.11,1470.29,0.00
Charlotte,Weekly,"2017-01-15 00:00:00",Organic,1.500000000,10672.07,148.64,4643.38,570.26,5309.79,4702.52,607.27,0.00
Chicago,Weekly,"2017-01-15 00:00:00",Organic,1.850000000,38542.50,78.31,34378.08,0.00,4086.11,4086.11,0.00,0.00
Cincinnati/Dayton,Weekly,"2017-01-15 00:00:00",Organic,1.880000000,6349.77,364.39,5229.29,0.00,756.09,715.87,40.22,0.00
Columbus,Weekly,"2017-01-15 00:00:00",Organic,1.730000000,5148.98,626.06,2307.26,0.00,2215.66,2172.89,42.77,0.00
"Dallas/Ft. Worth",Weekly,"2017-01-15 00:00:00",Organic,1.040000000,19472.79,3979.48,1535.52,0.00,13957.79,13871.35,86.44,0.00
Denver,Weekly,"2017-01-15 00:00:00",Organic,0.730000000,50686.37,18780.82,3010.21,270.75,28624.59,15918.63,12705.96,0.00
Detroit,Weekly,"2017-01-15 00:00:00",Organic,1.880000000,7875.36,790.85,6131.31,0.00,953.20,937.88,15.32,0.00
"Grand Rapids",Weekly,"2017-01-15 00:00:00",Organic,1.750000000,1427.36,60.33,973.70,0.00,393.33,393.33,0.00,0.00
"Great Lakes",Weekly,"2017-01-15 00:00:00",Organic,1.700000000,103487.72,4370.03,67260.09,0.00,31857.60,25703.71,6153.89,0.00
Harrisburg/Scranton,Weekly,"2017-01-15 00:00:00",Organic,1.880000000,8630.41,308.39,178.54,9.18,8134.30,8134.30,0.00,0.00
Hartford/Springfield,Weekly,"2017-01-15 00:00:00",Organic,2.430000000,11203.27,119.46,4601.08,6.87,6475.86,6277.53,198.33,0.00
Houston,Weekly,"2017-01-15 00:00:00",Organic,0.950000000,30698.94,8281.17,13.75,0.00,22404.02,22397.35,6.67,0.00
Indianapolis,Weekly,"2017-01-15 00:00:00",Organic,1.310000000,4021.54,168.82,1536.10,0.00,2316.62,1279.52,1037.10,0.00
Jacksonville,Weekly,"2017-01-15 00:00:00",Organic,1.250000000,4618.57,338.85,97.16,14.57,4167.99,1172.22,2995.77,0.00
"Las Vegas",Weekly,"2017-01-15 00:00:00",Organic,1.390000000,9442.83,941.79,2918.63,0.00,5582.41,5582.41,0.00,0.00
"Los Angeles",Weekly,"2017-01-15 00:00:00",Organic,1.300000000,86845.72,13881.57,25602.56,3.12,47358.47,46301.47,1057.00,0.00
Louisville,Weekly,"2017-01-15 00:00:00",Organic,1.600000000,1959.10,13.85,1318.58,0.00,626.67,626.67,0.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-01-15 00:00:00",Organic,1.190000000,7707.31,297.27,12.11,0.00,7397.93,5116.66,2281.27,0.00
Midsouth,Weekly,"2017-01-15 00:00:00",Organic,1.670000000,88279.56,3414.04,43794.80,2191.38,38879.34,37053.18,1826.16,0.00
Nashville,Weekly,"2017-01-15 00:00:00",Organic,1.540000000,2962.13,238.89,2018.46,0.00,704.78,73.89,630.89,0.00
"New Orleans/Mobile",Weekly,"2017-01-15 00:00:00",Organic,1.300000000,3873.46,101.17,11.90,0.00,3760.39,2775.42,984.97,0.00
"New York",Weekly,"2017-01-15 00:00:00",Organic,2.090000000,42233.25,6002.05,18195.10,117.02,17919.08,17791.92,127.16,0.00
Northeast,Weekly,"2017-01-15 00:00:00",Organic,1.940000000,134840.81,9284.34,31877.36,128.08,93551.03,91994.71,1556.32,0.00
"Northern New England",Weekly,"2017-01-15 00:00:00",Organic,1.770000000,10857.24,0.00,197.94,0.00,10659.30,10659.30,0.00,0.00
Orlando,Weekly,"2017-01-15 00:00:00",Organic,1.260000000,7323.72,539.10,112.35,0.00,6672.27,3426.67,3245.60,0.00
Philadelphia,Weekly,"2017-01-15 00:00:00",Organic,2.000000000,11538.53,1218.57,3918.11,15.50,6386.35,6361.46,24.89,0.00
Phoenix/Tucson,Weekly,"2017-01-15 00:00:00",Organic,1.490000000,11582.83,3008.72,3123.32,0.00,5450.79,5443.70,7.09,0.00
Pittsburgh,Weekly,"2017-01-15 00:00:00",Organic,1.470000000,7911.58,935.06,25.23,0.00,6951.29,6577.57,373.72,0.00
Plains,Weekly,"2017-01-15 00:00:00",Organic,1.560000000,64677.46,5384.45,18694.14,5562.78,35036.09,23848.37,11187.72,0.00
Portland,Weekly,"2017-01-15 00:00:00",Organic,0.980000000,42695.84,3851.49,4314.91,8.19,34521.25,310.38,34210.87,0.00
Raleigh/Greensboro,Weekly,"2017-01-15 00:00:00",Organic,1.620000000,10210.40,185.33,5492.56,523.31,4009.20,3842.00,167.20,0.00
Richmond/Norfolk,Weekly,"2017-01-15 00:00:00",Organic,1.560000000,6047.00,434.68,2923.44,197.24,2491.64,2491.64,0.00,0.00
Roanoke,Weekly,"2017-01-15 00:00:00",Organic,1.600000000,5398.97,194.17,3113.34,0.00,2091.46,2091.46,0.00,0.00
Sacramento,Weekly,"2017-01-15 00:00:00",Organic,2.310000000,5267.55,1502.96,3492.53,0.00,272.06,265.39,6.67,0.00
"San Diego",Weekly,"2017-01-15 00:00:00",Organic,1.820000000,11578.42,2529.20,7637.66,0.00,1411.56,993.41,418.15,0.00
"San Francisco",Weekly,"2017-01-15 00:00:00",Organic,2.700000000,17202.67,5875.70,8476.23,0.00,2850.74,2841.20,9.54,0.00
Seattle,Weekly,"2017-01-15 00:00:00",Organic,1.250000000,48313.72,447.27,11513.38,1.32,36351.75,690.75,35661.00,0.00
"South Carolina",Weekly,"2017-01-15 00:00:00",Organic,1.450000000,9692.83,344.06,3697.15,253.50,5398.12,4430.40,967.72,0.00
"South Central",Weekly,"2017-01-15 00:00:00",Organic,1.060000000,109017.25,22335.20,6350.11,0.00,80331.94,78546.46,1785.48,0.00
Southeast,Weekly,"2017-01-15 00:00:00",Organic,1.360000000,63939.14,4716.66,12386.68,392.83,46442.97,24971.94,21471.03,0.00
Spokane,Weekly,"2017-01-15 00:00:00",Organic,1.170000000,4471.01,24.44,1016.47,0.00,3430.10,35.08,3395.02,0.00
"St. Louis",Weekly,"2017-01-15 00:00:00",Organic,1.450000000,7588.47,1997.04,657.61,0.00,4933.82,1305.00,3628.82,0.00
Syracuse,Weekly,"2017-01-15 00:00:00",Organic,1.530000000,3179.45,2.53,156.91,0.00,3020.01,3000.33,19.68,0.00
Tampa,Weekly,"2017-01-15 00:00:00",Organic,1.210000000,7526.04,320.78,60.10,0.00,7145.16,4763.33,2381.83,0.00
West,Weekly,"2017-01-15 00:00:00",Organic,1.060000000,268743.11,43816.58,41834.41,471.92,182620.20,62810.00,119810.20,0.00
"West Tex/New Mexico",Weekly,"2017-01-15 00:00:00",Organic,1.190000000,17014.23,1203.87,2904.22,23.07,12883.07,12476.57,406.50,0.00
"Total U.S.",Weekly,"2017-01-22 00:00:00",Organic,1.370000000,994282.98,115700.02,281786.33,6707.82,590088.81,401805.90,188282.91,0.00
Albany,Weekly,"2017-01-22 00:00:00",Organic,1.820000000,1897.07,78.83,128.24,0.00,1690.00,1690.00,0.00,0.00
Atlanta,Weekly,"2017-01-22 00:00:00",Organic,1.620000000,7484.99,1121.56,4738.82,0.00,1624.61,2.79,1621.82,0.00
Baltimore/Washington,Weekly,"2017-01-22 00:00:00",Organic,1.850000000,18486.41,1219.26,8061.11,345.66,8860.38,8826.54,33.84,0.00
Boise,Weekly,"2017-01-22 00:00:00",Organic,1.060000000,3083.38,3.00,450.57,0.00,2629.81,639.29,1990.52,0.00
Boston,Weekly,"2017-01-22 00:00:00",Organic,1.930000000,15417.31,9.60,969.46,0.00,14438.25,14438.25,0.00,0.00
Buffalo/Rochester,Weekly,"2017-01-22 00:00:00",Organic,1.500000000,2590.39,8.54,139.02,0.00,2442.83,2440.12,2.71,0.00
California,Weekly,"2017-01-22 00:00:00",Organic,1.530000000,136422.97,28034.89,54342.56,6.18,54039.34,49913.43,4125.91,0.00
Charlotte,Weekly,"2017-01-22 00:00:00",Organic,1.480000000,8443.85,92.31,3486.55,448.82,4416.17,3971.50,444.67,0.00
Chicago,Weekly,"2017-01-22 00:00:00",Organic,1.510000000,47561.03,52.69,43587.09,0.00,3921.25,3921.25,0.00,0.00
Cincinnati/Dayton,Weekly,"2017-01-22 00:00:00",Organic,1.580000000,7209.50,235.68,4884.31,0.00,2089.51,694.68,1394.83,0.00
Columbus,Weekly,"2017-01-22 00:00:00",Organic,0.940000000,11258.65,627.36,2305.21,0.00,8326.08,2082.68,6243.40,0.00
"Dallas/Ft. Worth",Weekly,"2017-01-22 00:00:00",Organic,1.030000000,29547.04,6279.44,1204.40,0.00,22063.20,21974.04,89.16,0.00
Denver,Weekly,"2017-01-22 00:00:00",Organic,0.980000000,29282.55,12519.74,5289.45,11.43,11461.93,8840.51,2621.42,0.00
Detroit,Weekly,"2017-01-22 00:00:00",Organic,0.770000000,19452.17,645.63,4104.58,0.00,14701.96,1331.38,13370.58,0.00
"Grand Rapids",Weekly,"2017-01-22 00:00:00",Organic,1.520000000,2693.59,65.96,2010.96,0.00,616.67,616.67,0.00,0.00
"Great Lakes",Weekly,"2017-01-22 00:00:00",Organic,1.190000000,155334.45,3657.79,74068.65,0.00,77608.01,27302.29,50305.72,0.00
Harrisburg/Scranton,Weekly,"2017-01-22 00:00:00",Organic,1.760000000,8360.08,356.74,139.44,16.83,7847.07,7826.68,20.39,0.00
Hartford/Springfield,Weekly,"2017-01-22 00:00:00",Organic,2.440000000,9583.77,101.61,3410.70,9.61,6061.85,6038.97,22.88,0.00
Houston,Weekly,"2017-01-22 00:00:00",Organic,0.940000000,35076.15,8152.04,748.06,0.00,26176.05,26176.05,0.00,0.00
Indianapolis,Weekly,"2017-01-22 00:00:00",Organic,0.840000000,7308.25,139.19,1459.20,0.00,5709.86,1493.79,4216.07,0.00
Jacksonville,Weekly,"2017-01-22 00:00:00",Organic,1.230000000,4964.50,296.30,67.34,20.81,4580.05,1396.67,3183.38,0.00
"Las Vegas",Weekly,"2017-01-22 00:00:00",Organic,1.340000000,10312.75,1117.76,3189.79,0.00,6005.20,5992.65,12.55,0.00
"Los Angeles",Weekly,"2017-01-22 00:00:00",Organic,1.270000000,77418.61,10912.94,21788.20,3.12,44714.35,41824.67,2889.68,0.00
Louisville,Weekly,"2017-01-22 00:00:00",Organic,1.310000000,2097.61,0.00,1006.17,0.00,1091.44,536.66,554.78,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-01-22 00:00:00",Organic,1.190000000,5887.98,221.91,12.10,0.00,5653.97,3727.78,1926.19,0.00
Midsouth,Weekly,"2017-01-22 00:00:00",Organic,1.490000000,96918.39,2981.29,38351.15,1985.43,53600.52,39758.09,13842.43,0.00
Nashville,Weekly,"2017-01-22 00:00:00",Organic,0.860000000,6627.34,172.58,2287.61,0.00,4167.15,57.77,4109.38,0.00
"New Orleans/Mobile",Weekly,"2017-01-22 00:00:00",Organic,1.310000000,4028.29,190.38,5.98,0.00,3831.93,2815.27,1016.66,0.00
"New York",Weekly,"2017-01-22 00:00:00",Organic,2.050000000,49056.11,6679.14,21232.95,1039.74,20104.28,19821.48,282.80,0.00
Northeast,Weekly,"2017-01-22 00:00:00",Organic,1.930000000,135079.52,10781.15,31238.00,886.21,92174.16,91298.20,875.96,0.00
"Northern New England",Weekly,"2017-01-22 00:00:00",Organic,1.890000000,13492.85,2.54,185.06,0.00,13305.25,13305.25,0.00,0.00
Orlando,Weekly,"2017-01-22 00:00:00",Organic,1.260000000,6741.50,527.11,78.21,0.00,6136.18,3583.33,2552.85,0.00
Philadelphia,Weekly,"2017-01-22 00:00:00",Organic,2.000000000,10199.77,1524.38,3321.89,13.78,5339.72,5279.57,60.15,0.00
Phoenix/Tucson,Weekly,"2017-01-22 00:00:00",Organic,1.590000000,10333.37,2433.61,3905.32,0.00,3994.44,3964.66,29.78,0.00
Pittsburgh,Weekly,"2017-01-22 00:00:00",Organic,1.400000000,8828.82,768.82,5.01,0.00,8054.99,7606.17,448.82,0.00
Plains,Weekly,"2017-01-22 00:00:00",Organic,1.570000000,55867.65,5924.10,18291.59,3406.40,28245.56,18114.66,10130.90,0.00
Portland,Weekly,"2017-01-22 00:00:00",Organic,0.960000000,37742.57,2500.96,4287.60,6.54,30947.47,321.10,30626.37,0.00
Raleigh/Greensboro,Weekly,"2017-01-22 00:00:00",Organic,1.590000000,10830.75,224.66,4242.03,477.69,5886.37,5420.39,465.98,0.00
Richmond/Norfolk,Weekly,"2017-01-22 00:00:00",Organic,1.270000000,8066.77,436.20,2878.14,180.28,4572.15,2901.02,1671.13,0.00
Roanoke,Weekly,"2017-01-22 00:00:00",Organic,1.160000000,7525.89,234.38,2584.95,0.00,4706.56,2177.11,2529.45,0.00
Sacramento,Weekly,"2017-01-22 00:00:00",Organic,1.890000000,6015.68,1800.88,3930.91,0.00,283.89,283.89,0.00,0.00
"San Diego",Weekly,"2017-01-22 00:00:00",Organic,1.730000000,10842.77,2019.23,6869.87,0.00,1953.67,626.78,1326.89,0.00
"San Francisco",Weekly,"2017-01-22 00:00:00",Organic,2.030000000,20441.93,8435.86,9045.98,2.86,2957.23,2957.23,0.00,0.00
Seattle,Weekly,"2017-01-22 00:00:00",Organic,1.320000000,39780.18,654.95,10318.19,9.24,28797.80,557.91,28239.89,0.00
"South Carolina",Weekly,"2017-01-22 00:00:00",Organic,1.440000000,8519.07,321.40,3190.68,234.85,4772.14,3826.57,945.57,0.00
"South Central",Weekly,"2017-01-22 00:00:00",Organic,1.020000000,147163.14,28151.07,6856.25,0.00,112155.82,107713.44,4442.38,0.00
Southeast,Weekly,"2017-01-22 00:00:00",Organic,1.360000000,58686.47,4163.56,12655.77,353.20,41513.94,21717.79,19796.15,0.00
Spokane,Weekly,"2017-01-22 00:00:00",Organic,1.280000000,3750.22,99.78,928.56,0.00,2721.88,63.35,2658.53,0.00
"St. Louis",Weekly,"2017-01-22 00:00:00",Organic,1.400000000,6534.61,1189.05,791.05,0.00,4554.51,1287.78,3266.73,0.00
Syracuse,Weekly,"2017-01-22 00:00:00",Organic,1.570000000,1880.89,19.02,65.93,0.00,1795.94,1795.94,0.00,0.00
Tampa,Weekly,"2017-01-22 00:00:00",Organic,1.200000000,6939.71,252.11,33.77,0.00,6653.83,4266.66,2387.17,0.00
West,Weekly,"2017-01-22 00:00:00",Organic,1.200000000,208810.31,32006.16,45982.34,70.40,130751.41,45987.98,84763.43,0.00
"West Tex/New Mexico",Weekly,"2017-01-22 00:00:00",Organic,1.210000000,16430.64,1413.93,2820.53,20.25,12175.93,12073.07,102.86,0.00
"Total U.S.",Weekly,"2017-01-29 00:00:00",Organic,1.430000000,953206.10,131808.29,292584.44,3524.96,525288.41,346391.91,178896.50,0.00
Albany,Weekly,"2017-01-29 00:00:00",Organic,1.860000000,1795.81,32.53,123.14,0.00,1640.14,1640.14,0.00,0.00
Atlanta,Weekly,"2017-01-29 00:00:00",Organic,1.530000000,7330.86,1102.57,4181.73,0.00,2046.56,5.58,2040.98,0.00
Baltimore/Washington,Weekly,"2017-01-29 00:00:00",Organic,1.850000000,17293.49,1050.68,7816.85,330.58,8095.38,8090.55,4.83,0.00
Boise,Weekly,"2017-01-29 00:00:00",Organic,1.060000000,3212.37,15.20,452.12,0.00,2745.05,623.74,2121.31,0.00
Boston,Weekly,"2017-01-29 00:00:00",Organic,1.900000000,15270.59,8.37,1127.00,0.00,14135.22,13878.77,256.45,0.00
Buffalo/Rochester,Weekly,"2017-01-29 00:00:00",Organic,1.610000000,2348.77,2.44,347.33,0.00,1999.00,1829.70,169.30,0.00
California,Weekly,"2017-01-29 00:00:00",Organic,1.440000000,165225.54,30958.58,65973.06,23.20,68270.70,52928.72,15341.98,0.00
Charlotte,Weekly,"2017-01-29 00:00:00",Organic,1.500000000,10053.43,131.99,4705.70,520.72,4695.02,4139.08,555.94,0.00
Chicago,Weekly,"2017-01-29 00:00:00",Organic,1.510000000,44735.40,87.33,40554.73,0.00,4093.34,4088.90,4.44,0.00
Cincinnati/Dayton,Weekly,"2017-01-29 00:00:00",Organic,0.800000000,15828.00,241.14,4263.69,0.00,11323.17,446.01,10877.16,0.00
Columbus,Weekly,"2017-01-29 00:00:00",Organic,1.490000000,6971.41,801.47,3370.23,0.00,2799.71,2039.28,760.43,0.00
"Dallas/Ft. Worth",Weekly,"2017-01-29 00:00:00",Organic,1.160000000,23208.81,9611.35,639.38,0.00,12958.08,12862.31,95.77,0.00
Denver,Weekly,"2017-01-29 00:00:00",Organic,1.490000000,18341.33,13842.27,3182.83,13.72,1302.51,1226.26,76.25,0.00
Detroit,Weekly,"2017-01-29 00:00:00",Organic,1.540000000,7850.52,724.05,4667.55,0.00,2458.92,770.05,1688.87,0.00
"Grand Rapids",Weekly,"2017-01-29 00:00:00",Organic,1.670000000,1626.47,47.74,1079.73,0.00,499.00,386.67,112.33,0.00
"Great Lakes",Weekly,"2017-01-29 00:00:00",Organic,1.350000000,129565.39,4443.31,72888.67,0.00,52233.41,24074.61,28158.80,0.00
Harrisburg/Scranton,Weekly,"2017-01-29 00:00:00",Organic,1.720000000,9254.53,364.78,195.77,10.16,8683.82,8622.95,60.87,0.00
Hartford/Springfield,Weekly,"2017-01-29 00:00:00",Organic,2.430000000,9412.37,96.15,3494.43,9.62,5812.17,5602.31,209.86,0.00
Houston,Weekly,"2017-01-29 00:00:00",Organic,0.930000000,33928.66,7985.23,303.14,0.00,25640.29,25640.29,0.00,0.00
Indianapolis,Weekly,"2017-01-29 00:00:00",Organic,1.040000000,5571.99,222.81,1495.17,0.00,3854.01,1209.49,2644.52,0.00
Jacksonville,Weekly,"2017-01-29 00:00:00",Organic,1.390000000,3608.79,238.27,58.03,16.05,3296.44,432.22,2864.22,0.00
"Las Vegas",Weekly,"2017-01-29 00:00:00",Organic,1.310000000,11638.55,1129.81,3211.73,9.28,7287.73,7258.26,29.47,0.00
"Los Angeles",Weekly,"2017-01-29 00:00:00",Organic,1.090000000,99597.27,16192.49,29310.80,1.56,54092.42,42914.14,11178.28,0.00
Louisville,Weekly,"2017-01-29 00:00:00",Organic,1.450000000,1469.92,0.00,938.08,0.00,531.84,193.33,338.51,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-01-29 00:00:00",Organic,1.230000000,4472.77,255.33,8.07,0.00,4209.37,2085.56,2123.81,0.00
Midsouth,Weekly,"2017-01-29 00:00:00",Organic,1.540000000,95499.48,3428.23,45235.31,2048.59,44787.35,33303.24,11484.11,0.00
Nashville,Weekly,"2017-01-29 00:00:00",Organic,1.410000000,3254.87,296.39,1977.10,0.00,981.38,78.33,903.05,0.00
"New Orleans/Mobile",Weekly,"2017-01-29 00:00:00",Organic,1.300000000,2939.28,129.28,0.00,0.00,2810.00,1861.27,948.73,0.00
"New York",Weekly,"2017-01-29 00:00:00",Organic,2.080000000,46602.16,6492.22,19169.83,74.51,20865.60,20510.68,354.92,0.00
Northeast,Weekly,"2017-01-29 00:00:00",Organic,1.930000000,132820.76,10226.18,29196.51,90.66,93307.41,91291.73,2015.68,0.00
"Northern New England",Weekly,"2017-01-29 00:00:00",Organic,1.840000000,12789.12,3.82,333.23,0.00,12452.07,12452.07,0.00,0.00
Orlando,Weekly,"2017-01-29 00:00:00",Organic,1.470000000,6055.75,580.60,63.11,0.00,5412.04,1900.01,3512.03,0.00
Philadelphia,Weekly,"2017-01-29 00:00:00",Organic,1.900000000,11574.88,1374.83,3255.70,9.02,6935.33,6844.43,90.90,0.00
Phoenix/Tucson,Weekly,"2017-01-29 00:00:00",Organic,1.490000000,14419.22,4218.73,4389.86,0.00,5810.63,5789.71,20.92,0.00
Pittsburgh,Weekly,"2017-01-29 00:00:00",Organic,1.430000000,8952.16,940.32,19.90,0.00,7991.94,7464.93,527.01,0.00
Plains,Weekly,"2017-01-29 00:00:00",Organic,1.550000000,49505.09,4305.53,16857.63,935.56,27406.37,16105.53,11300.84,0.00
Portland,Weekly,"2017-01-29 00:00:00",Organic,0.990000000,35700.10,3147.45,4138.38,1.63,28412.64,849.74,27562.90,0.00
Raleigh/Greensboro,Weekly,"2017-01-29 00:00:00",Organic,1.630000000,12400.14,210.30,5718.04,367.53,6104.27,5464.33,639.94,0.00
Richmond/Norfolk,Weekly,"2017-01-29 00:00:00",Organic,1.320000000,8024.80,592.19,3683.49,230.30,3518.82,1829.27,1689.55,0.00
Roanoke,Weekly,"2017-01-29 00:00:00",Organic,1.180000000,7932.55,339.58,3824.05,0.00,3768.92,1293.27,2475.65,0.00
Sacramento,Weekly,"2017-01-29 00:00:00",Organic,2.020000000,6748.27,1652.72,4786.42,12.15,296.98,296.98,0.00,0.00
"San Diego",Weekly,"2017-01-29 00:00:00",Organic,1.210000000,18191.46,1477.75,8949.53,4.86,7759.32,3304.61,4454.71,0.00
"San Francisco",Weekly,"2017-01-29 00:00:00",Organic,2.700000000,17708.49,7224.20,7671.88,2.86,2809.55,2809.55,0.00,0.00
Seattle,Weekly,"2017-01-29 00:00:00",Organic,1.220000000,45744.02,636.48,10502.66,58.27,34546.61,1544.23,33002.38,0.00
"South Carolina",Weekly,"2017-01-29 00:00:00",Organic,1.430000000,9208.26,332.61,3466.84,214.77,5194.04,4009.54,1184.50,0.00
"South Central",Weekly,"2017-01-29 00:00:00",Organic,1.080000000,121203.53,35172.06,5405.54,0.00,80625.93,76958.46,3667.47,0.00
Southeast,Weekly,"2017-01-29 00:00:00",Organic,1.430000000,53543.13,4423.96,12562.99,317.33,36238.85,13961.85,22277.00,0.00
Spokane,Weekly,"2017-01-29 00:00:00",Organic,1.260000000,4306.29,71.23,1070.47,0.00,3164.59,123.23,3041.36,0.00
"St. Louis",Weekly,"2017-01-29 00:00:00",Organic,1.360000000,6269.88,1315.28,514.22,0.00,4440.38,811.11,3629.27,0.00
Syracuse,Weekly,"2017-01-29 00:00:00",Organic,1.670000000,1749.51,0.00,106.80,0.00,1642.71,1473.19,169.52,0.00
Tampa,Weekly,"2017-01-29 00:00:00",Organic,1.430000000,5251.73,263.33,46.22,0.00,4942.18,2496.67,2445.51,0.00
West,Weekly,"2017-01-29 00:00:00",Organic,1.290000000,205843.17,38850.43,44464.74,109.61,122418.39,37767.77,84650.62,0.00
"West Tex/New Mexico",Weekly,"2017-01-29 00:00:00",Organic,1.300000000,17839.37,1486.34,4498.48,26.12,11828.43,11821.76,6.67,0.00
"Total U.S.",Weekly,"2017-02-05 00:00:00",Organic,1.360000000,1015621.03,136100.39,314011.26,2238.78,563270.60,342705.32,220565.28,0.00
Albany,Weekly,"2017-02-05 00:00:00",Organic,1.720000000,1753.35,26.75,223.33,0.00,1503.27,1503.27,0.00,0.00
Atlanta,Weekly,"2017-02-05 00:00:00",Organic,1.280000000,9685.15,1418.26,4208.97,0.00,4057.92,35.71,4022.21,0.00
Baltimore/Washington,Weekly,"2017-02-05 00:00:00",Organic,1.850000000,17974.51,1373.51,6610.53,202.88,9787.59,9782.06,5.53,0.00
Boise,Weekly,"2017-02-05 00:00:00",Organic,0.950000000,3143.96,20.03,321.73,0.00,2802.20,679.58,2122.62,0.00
Boston,Weekly,"2017-02-05 00:00:00",Organic,1.630000000,22249.09,7.16,2644.02,38.21,19559.70,16906.10,2653.60,0.00
Buffalo/Rochester,Weekly,"2017-02-05 00:00:00",Organic,1.810000000,5750.39,6.11,258.24,0.00,5486.04,3200.60,2285.44,0.00
California,Weekly,"2017-02-05 00:00:00",Organic,1.360000000,169739.80,37220.31,82017.40,9.46,50492.63,49406.12,1086.51,0.00
Charlotte,Weekly,"2017-02-05 00:00:00",Organic,1.620000000,8473.46,140.61,3540.95,461.31,4330.59,4075.60,254.99,0.00
Chicago,Weekly,"2017-02-05 00:00:00",Organic,1.490000000,42439.11,82.09,39288.55,0.00,3068.47,3068.47,0.00,0.00
